Rank,Artist,Song,Genre,Year,Lyrics
127,Procol Harum,A Whiter Shade of Pale,"Baroque Pop,Blue Eyed Soul,Psychedelic Pop ",1967,"We skipped the light fandango
Turned cartwheels 'cross the floor
I was feeling kind of seasick
But the crowd called out for more
The room was humming harder
As the ceiling flew away
When we called out for another drink
The waiter brought a tray

And so it was that later
As the miller told his tale
That her face, at first just ghostly
Turned a whiter shade of pale

She said, ""There is no reason
And the truth is plain to see""
But I wandered through my playing cards
And would not let her be
One of sixteen vestal virgins
Who were leaving for the coast
And although my eyes were open
They might just as well have been closed

And so it was that later
As the miller told his tale
That her face, at first just ghostly
Turned a whiter shade of pale

And so it was that later
As the miller told his tale..."
128,M83,Midnight City,"Synthpop,Synthwave  ",2011, 
129,LCD Soundsystem,Losing My Edge,"Dance-Punk,Indietronica  ",2002,"Yeah, I'm losing my edge.
I'm losing my edge.
The kids are coming up from behind.
I'm losing my edge.
I'm losing my edge to the kids from France and from London.
But I was there.

I was there in 1968. 
I was there at the first Can show in Cologne.
I'm losing my edge.
I'm losing my edge to the kids whose footsteps I hear when they get on the decks.
I'm losing my edge to the Internet seekers who can tell me every member of every good group from 1962 to 1978.
I'm losing my edge.

To all the kids in Tokyo and Berlin.
I'm losing my edge to the art-school Brooklynites in little jackets and borrowed nostalgia for the unremembered eighties.

But I'm losing my edge.
I'm losing my edge, but I was there.
I was there.
But I was there.

I'm losing my edge.
I'm losing my edge.
I can hear the footsteps every night on the decks.
But I was there.
I was there in 1974 at the first Suicide practices in a loft in New York City.
I was working on the organ sounds with much patience.
I was there when Captain Beefheart started up his first band.
I told him, ""Don't do it that way. You'll never make a dime.""
I was there.
I was the first guy playing Daft Punk to the rock kids.
I played it at CBGB's.
Everybody thought I was crazy.
We all know.
I was there.
I was there.
I've never been wrong.

I used to work in the record store. 
I had everything before anyone.
I was there in the Paradise Garage DJ booth with Larry Levan.
I was there in Jamaica during the great sound clashes.
I woke up naked on the beach in Ibiza in 1988.

But I'm losing my edge to better-looking people with better ideas and more talent.
And they're actually really, really nice.

I'm losing my edge.

I heard you have a compilation of every good song ever done by anybody.
Every great song by the Beach Boys. All the underground hits.
All the Modern Lovers tracks. I heard you have a vinyl of every Niagra record on German import.
I heard that you have a white label of every seminal Detroit techno hit - 1985, '86, '87.
I heard that you have a CD compilation of every good '60s cut and another box set from the '70s.

I hear you're buying a synthesizer and an arpeggiator and are throwing your computer out the window because you want to make something real. You want to make a Yaz record.

I hear that you and your band have sold your guitars and bought turntables. 
I hear that you and your band have sold your turntables and bought guitars.

I hear everybody that you know is more relevant than everybody that I know.

But have you seen my records? This Heat, Pere Ubu, Outsiders, Nation of Ulysses, Mars, The Trojans, The Black Dice, Todd Terry, the Germs, Section 25, Althea and Donna, Sexual Harrassment, a-ha, Pere Ubu, Dorothy Ashby, PIL, the Fania All-Stars, the Bar-Kays, the Human League, the Normal, Lou Reed, Scott Walker, Monks, Niagra,
Joy Division, Lower 48, the Association, Sun Ra, 
Scientists, Royal Trux, 10cc,

Eric B. and Rakim, Index, Basic Channel, Soulsonic Force (""just hit me""!), Juan Atkins, David Axelrod, Electric Prunes, Gil! Scott! Heron!, the Slits, Faust, Mantronix, Pharaoh Sanders and the Fire Engines, the Swans, the Soft Cell, the Sonics, the Sonics, the Sonics, the Sonics.

You don't know what you really want. [x15]"
130,Hank Williams,I'm So Lonesome I Could Cry,Traditional Country   ,1949,"Hear that lonesome whippoorwill
He sounds too blue to fly
The midnight train is whining low
I'm so lonesome I could cry

I've never seen a night so long
When time goes crawling by
The moon just went behind the clouds
To hide its face and cry

Did you ever see a robin weep
When leaves began to die?
Like me, he's lost the will to live
I'm so lonesome I could cry

The silence of a falling star
Lights up a purple sky
And as I wonder where you are
I'm so lonesome I could cry"
131,The Byrds,Eight Miles High,Psychedelic Rock   ,1966, 
132,Underworld,Born Slippy .NUXX,"Hard Trance,Tech Trance  ",1995, 
133,Jerry Lee Lewis,Great Balls of Fire,Rockabilly   ,1957,"You shake my nerves and you rattle my brain
Too much love drives a man insane
You broke my will, but what a thrill
Goodness gracious great balls of fire

I laughed at love when I thought it was funny
But you came along and you moved me honey
I've changed my mind, this love is fine
Goodness gracious great balls of fire

Kiss me baby, woo, it feels good
Hold me baby, ooh, yeah, you gonna love me like a lover should
You're fine, so kind, I'm gonna tell this world that you're mine! Mine! Mine! Mine!

I chew my nails, I twiddle my thumbs
I'm really nervous but it sure is fun
Come on baby, you drive me crazy
Goodness gracious great balls of fire

Ohhh, kiss me baby, woo-oooooo, feels good, yeah
Let me love you like a lover should.
You're fine. So kind.
I gonna tell this world that you're mine! Mine! Mine! Mine!

I chew my nails and I twiddle my thumbs
I'm real nervous but it sure is fun
Come on baby, you drive me crazy
Goodness gracious great balls of fire"
134,Booker T. & The MG's,Green Onions,Rhythm & Blues   ,1962, 
135,Yeah Yeah Yeahs,Maps,Indie Rock   ,2003,"Pack up
I'm straight
Enough
Oh, say say say
Oh, say say say
Oh, say say say
Oh, say say say
Oh, say say say

Wait, they don't love you like i love you
Wait, they don't love you like i love you
Ma-a-a-a-ps, wait! 
They don't love you like i love you...

Made off
Don't stray
My kind's your kind 
I'll stay the same

Pack up
Don't stray
Oh, say say say
Oh, say say say

Wait! they don't love you like i love you
Wait! they don't love you like i love you
Ma-a-a-aps, wait!
They don't love you like i love you...
Wait! they don't love you like i love you
Ma-a-a-aps, wait!
They don't love you like i love you...

Wait, they don't love you like i love you
Wait, they don't love you like i love you
Ma-a-a-a-ps, wait! 
They don't love you like i love you...
Wait, they don't love you like i love you
Ma-a-a-a-ps, wait!
They don't love you like i love you..."
136,Rihanna feat. Jay-Z,Umbrella,"Contemporary R&B,Pop  ",2007, 
137,The Beatles,She Loves You,Merseybeat   ,1963, 
138,Bee Gees,Stayin' Alive,"Disco,Film Soundtrack  ",1977,"Well, you can tell by the way I use my walk
I'm a woman's man: no time to talk
The music loud and the women warm
I've been kicked around since I was born

And now it's all right. It's OK
And you may look the other way
But we can try to understand
The New York Times' effect on man

Whether you're a brother
Or whether you're a mother
You're stayin' alive, stayin' alive
Feel the city breakin'
And everybody shakin'
And we're stayin' alive, stayin' alive
Ah, ha, ha, ha, stayin' alive, stayin' alive
Ah, ha, ha, ha, stayin' alive
Oh, when you walk

Well, now, I get low and I get high
And if I can't get either, I really try
Got the wings of heaven on my shoes
I'm a dancin' man and I just can't lose

You know it's all right. It's OK
I'll live to see another day
But we can try to understand
The New York Times' effect on man

Whether you're a brother
Or whether you're a mother
You're stayin' alive, stayin' alive
Feel the city breakin'
And everybody shakin'
And we're stayin' alive, stayin' alive
Ah, ha, ha, ha, stayin' alive, stayin' alive
Ah, ha, ha, ha, stayin' alive
(Hey, yeah)

Life goin' nowhere. Somebody help me
Somebody help me, yeah
Life goin' nowhere. Somebody help me, yeah
I'm stayin' alive

Well, you can tell by the way I use my walk
I'm a woman's man: no time to talk
The music loud and the women warm
I've been kicked around since I was born

And now it's all right. It's OK
And you may look the other way
But we can try to understand
The New York Times' effect on man

Whether you're a brother
Or whether you're a mother
You're stayin' alive, stayin' alive
Feel the city breakin'
And everybody shakin'
And we're stayin' alive, stayin' alive
Ah, ha, ha, ha, stayin' alive, stayin' alive
Ah, ha, ha, ha, stayin' alive
(Hey, yeah)

Life goin' nowhere. Somebody help me
Somebody help me, yeah
Life goin' nowhere. Somebody help me, yeah
I'm stayin' alive

Life goin' nowhere. Somebody help me
Somebody help me, yeah
Life goin' nowhere. Somebody help me, yeah
I'm stayin' alive

Life goin' nowhere. Somebody help me
Somebody help me, yeah
Life goin' nowhere. Somebody help me, yeah
I'm stayin' alive

Life goin' nowhere. Somebody help me
Somebody help me, yeah
Life goin' nowhere. Somebody help me, yeah
I'm stayin' alive"
139,Bob Dylan,Tangled Up in Blue,"Folk Rock,Singer/Songwriter  ",1975,"Early one morning the sun was shining
I was laying in bed
Wondering if she'd changed at all
If her hair was still red
Her folks they said our lives together
Sure was gonna be rough
They never did like mama's homemade dress
Papa's bankbook wasn't big enough
And I was standing on the side of the road
Rain falling on my shoes
Heading out for the East Coast
Lord knows I've paid some dues
Getting through
Tangled up in blue.

She was married when we first met
Soon to be divorced
I helped her out of a jam I guess
But I used a little too much force
We drove that car as far as we could
Abandoned it out West
Split up on a dark sad night
Both agreeing it was best
She turned around to look at me
As I was walking away
I heard her say over my shoulder
""We'll meet again someday
on the avenue""
Tangled up in blue.

I had a job in the great north woods
Working as a cook for a spell
But I never did like it all that much
And one day the ax just fell
So I drifted down to New Orleans
so I lucky was to be employed
Working for a while on a fishing boat
Right outside of Delacroix
But all the while I was alone
The past was close behind
I seen a lot of women
But she never escaped my mind
And I just grew
Tangled up in blue.

She was working in a topless place
And I stopped in for a beer
I just kept looking at the side of her face
In the spotlight so clear
And later on when the crowd thinned out
I was just about to do the same
She was standing there in back of my chair
Said to me, ""Don't I know your name?""
I muttered something underneath my breath
She studied the lines on my face
I must admit I felt a little uneasy
When she bent down to tie the laces
Of my shoe
Tangled up in blue.

She lit a burner on the stove and offered me a pipe
""I thought you'd never say hello,"" she said,
""You look like the silent type.""
Then she opened up a book of poems
And handed it to me
Written by an Italian poet
From the thirteenth century
And every one of them words rang true
And glowed like burning coal
Pouring off of every page
Like it was written in my soul
From me to you
Tangled up in blue

I lived with them on Montague street
In a basement down the stairs
There was music in the cafés at night
And revolution in the air
Then he started into dealing with slaves
And something inside of him died
She had to sell everything she owned
And froze up inside
And when it finally the bottom fell out
I became withdrawn
The only thing I knew how to do
Was to keep on keeping on
Like a bird that flew
Tangled up in blue.

So now I'm going back again
I got to get to her somehow
All the people we used to know
They're an illusion to me now
Some are mathematicians
Some are carpenter's wives
Don't know how it all got started
I don't know what they do with their lives
But me I'm still on the road
A-heading for another joint
We always did feel the same
We just saw it from a different point
Of view
Tangled up in blue."
140,Rod Stewart,Maggie May,"Folk Rock,Pop Rock  ",1971,"Wake up, Maggie
I think I got something to say to you
It's late September and
I really should be back at school

I know I keep you amused
But I feel I'm being used
Oh, Maggie, I couldn't have tried anymore
You led me away from home
Just to save you from being alone
You stole my heart and that's what really hurts

The morning sun, when it's in your face
Really shows your age
That don't worry me none
In my eyes, you're everything

I laughed at all of your jokes
My love you didn't need to coax
Oh, Maggie, I couldn't have tried anymore
You led me away from home
Just to save you from being alone
You stole my soul and that's a pain I can do without

All I needed was a friend
To lend a guiding hand
But you turned into a lover, and mother what a lover!
You wore me out

All you did was wreck my bed
And in the morning kick me in the head
Oh, Maggie, I couldn't have tried anymore
You led me away from home
'Cause you didn't want to be alone
You stole my heart, I couldn't leave you if I tried

I suppose I could collect my books
And get on back to school
Or steal my daddy's cue
And make a living out of playing pool

Or find myself a rock 'n' roll band
That needs a helping hand
Oh, Maggie, I wished I'd never seen your face
You made a first-class fool out of me
But I'm as blind as a fool can be
You stole my heart, but I love you anyway

Maggie, I wished I'd never seen your face
I'll get on back home one of these days, ooh, ooh, ooh"
141,The Shirelles,Will You Love Me Tomorrow,"Brill Building,Girl Group,Pop Soul ",1960, 
142,Future Islands,Seasons (Waiting on You),"Indietronica,Synthpop  ",2014,"Seasons change,
And I tried hard just to soften you
Seasons change,
But I've grown tired of trying to change for you

Cause I've been waiting on you
I've been waiting on you
Cause I've been waiting on you
I've been waiting on you

As it breaks, the summer will wake
But the winter will wash what is left of the taste
As it breaks, the summer will warm
But the winter will crave what is gone
Will crave what has all... gone away

People change,
You know but some people never do
You know when people change
They gain a peace but they lose one too

Cause I've been hanging on you
I've been waiting on you
Cause I've been waiting on you
I've been hanging on you

As it breaks, the summer will wake
But the winter will wash what is left of the taste
As it breaks, the summer will warm
But the winter will crave what is gone
Will crave what is gone
Will crave what has all... gone away 

Cause I've been waiting on you"
143,Radiohead,Creep,Alternative Rock   ,1992,"When you were here before
Couldn't look you in the eye
You're just like an angel
Your skin makes me cry
You float like a feather
In a beautiful world
I wish I was special
You're so fucking special

But I'm a creep
I'm a weirdo
What the hell am I doing here?
I don't belong here

I don't care if it hurts
I want to have control
I want a perfect body
I want a perfect soul
I want you to notice
When I'm not around
You're so fucking special
I wish I was special

But I'm a creep
I'm a weirdo
What the hell am I doing here?
I don't belong here

Oh, oh

She's running out again
She's running out
She run run run run
Run

Whatever makes you happy
Whatever you want
You're so fucking special
I wish I was special

But I'm a creep
I'm a weirdo
What the hell am I doing here?
I don't belong here
I don't belong here"
144,Gene Vincent and His Blue Caps,Be-Bop-a-Lula,Rockabilly   ,1956, 
145,Black Sabbath,Paranoid,"Hard Rock,Heavy Metal  ",1970,"Finished with my woman 'cause she couldn't help me with my mind
People think I'm insane because I am frowning all the time
All day long I think of things but nothing seems to satisfy
Think I'll lose my mind if I don't find something to pacify

Can you help me occupy my brain?
Oh yeah

I need someone to show me the things in life that I can't find
I can't see the things that make true happiness, I must be blind

Make a joke and I will sigh and you will laugh and I will cry
Happiness I cannot feel and love to me is so unreal

And so as you hear these words telling you now of my state
I tell you to enjoy life I wish I could but it's too late"
146,Blondie,Heart of Glass,"Disco,New Wave  ",1978,"Once I had a love and it was a gas
Soon turned out had a heart of glass
Seemed like the real thing, only to find
Mucho mistrust, love's gone behind

Once I had a love and it was divine
Soon found out I was losing my mind
It seemed like the real thing but I was so blind
Mucho mistrust, love's gone behind

In between
What I find is pleasing and I'm feeling fine
Love is so confusing there's no peace of mind
If I fear I'm losing you it's just no good
You teasing like you do

Once I had a love and it was a gas
Soon turned out had a heart of glass
Seemed like the real thing, only to find
Mucho mistrust, love's gone behind

Lost inside
Adorable illusion and I cannot hide
I'm the one you're using, please don't push me aside
We could've made it cruising, yeah

Yeah, riding high on love's true bluish light

Once I had a love and it was a gas
[album version:] Soon turned out to be a pain in the ass
[radio version:] Soon turned out I had a heart of glass 
Seemed like the real thing only to find
Mucho mistrust, love's gone behind

[radio version additional verse:]
In between
What I find is pleasing and I'm feeling fine
Love is so confusing there's no peace of mind
If I fear I'm losing you it's just no good
You teasing like you do"
147,Led Zeppelin,Kashmir,"Hard Rock,Symphonic Rock  ",1975,"Oh, let the sun beat down upon my face
With stars to fill my dreams
I am a traveler of both time and space
To be where I have been
Sit with elders of the gentle race
This world has seldom seen
Talk of days for which they sit and wait
All will be revealed

Talk and song from tongues of lilting grace
Whose sounds caress my ear
But not a word I heard could I relate
The story was quite clear
Oh, oh
Oh, oh

Ooh, baby, I been flying
No yeah, mama, there ain't no denying
Oh, ooh, yeah I've been flying
Mama, mama, ain't no denying, no denying

Oh, all I see turns to brown
As the sun burns the ground
And my eyes fill with sand
As I scan this wasted land
Trying to find, trying to find, where I've been

Oh, pilot of the storm who leaves no trace
Like thoughts inside a dream
Here is the path that led me to that place
Yellow desert stream
My Shangri-La beneath the summer moon
I will return again
Sure as the dust that floats high in June
When moving through Kashmir

Oh, father of the four winds, fill my sails
Across the sea of years
With no provision but an open face
Along the straits of fear
Oh, oh
Oh, oh

Ooh

Oh, when I'm on, when I'm on my way, yeah
When I see, when I see the way, you stay-yeah
Ooh, yeah-yeah, ooh, yeah-yeah, when I'm down
Ooh, yeah-yeah, ooh, yeah-yeah, but I'm down, so down
Ooh, my baby, ooh, my baby, let me take you there
Oh come on, oh, let me take you there... let me take you there
Ooh, yeah-yeah, ooh, yeah-yeah, let me take you there... let me take you there"
148,Run-D.M.C.,Walk This Way,"East Coast Hip Hop,Rap Rock  ",1986,"[Run-D.M.C.]
Now there's a backseat/lover
That's always under/cover
And I talk til my daddy say
Said you ain't seen/nuthin
Til you're down on her/muffin
And there's sure to be a change in ways
Now there's a cheer/leader
That's a real big/pleaser
As far as I can remi/nisce
But the best thing/love it
Was her sister and her/cousin
And it started with a little kiss, like this

She starts/swingin
With the boys in/tune
And her feet just fly up in the air
Singin hey diddle diddle with a kitty in the middle
And they swingin like it just don't care
So I took a big/chance
At the high school/dance
With a lady who was ready to play
It wasn't me she was/foolin
Cause she knew what was she was/doin
when she told me how to walk this way

[Chorus: Run-D.M.C. and Aerosmith]

She told me to
Walk this way!
Talk this way!
[repeat 2X]
[repeat all 2X]
Well just gimme a kiss/some head!
Oooh, a-like this!

[Run-D.M.C.]
School girl/sleazy
With a/classy kind of sassy
Little skirt hangin way up her knee
It was three young ladies
In the school gym/locker
And they find they were lookin D
I was high school/loser
Never made it with a/lady
Til a boy told me somethin I missed
That my next door/neighbor
had a daughter/had a favor
And I gave the girl just a little kiss, like this

[Aerosmith]
She starts swingin with the boys in the school
with her feet flyin up in the air
Singing hey diddle diddle with a kitty in the middle
I was swingin like I didn't care
So I took a big chance at the high school dance
With a miss who was ready to play
Wasn't me she was foolin cause she knew what she was doin
when she told me how to walk this way

[Chorus]"
149,Madonna,Like a Prayer,Art Pop   ,1989,"Life is a mystery
Everyone must stand alone
I hear you call my name
And it feels like home

When you call my name
It's like a little prayer
I'm down on my knees
I wanna take you there
In the midnight hour
I can feel your power
Just like a prayer
You know I'll take you there

I hear your voice
It's like an angel sighing
I have no choice
I hear your voice
Feels like flying
I close my eyes
Oh God, I think I'm falling
Out of the sky
I close my eyes
Heaven, help me

When you call my name
It's like a little prayer
I'm down on my knees
I wanna take you there
In the midnight hour
I can feel your power
Just like a prayer
You know I'll take you there

Like a child
You whisper softly to me
You're in control
Just like a child
Now I'm dancing
It's like a dream
No end and no beginning
You're here with me
It's like a dream
Let the choir sing

When you call my name
It's like a little prayer
I'm down on my knees
I wanna take you there
In the midnight hour
I can feel your power
Just like a prayer
You know I'll take you there

When you call my name
It's like a little prayer
I'm down on my knees
I wanna take you there
In the midnight hour
I can feel your power
Just like a prayer
You know I'll take you there

Life is a mystery
Everyone must stand alone
I hear you call my name
And it feels like home

Just like a prayer
Your voice can take me there
Just like a muse to me
You are a mystery
Just like a dream
You are not what you seem
Just like a prayer, no choice
Your voice can take me there

Just like a prayer, I'll take you there
It's like a dream to me
Just like a prayer, I'll take you there
It's like a dream to me
Just like a prayer, I'll take you there
It's like a dream to me
Just like a prayer, I'll take you there
It's like a dream to me

Just like a prayer
Your voice can take me there
Just like a muse to me
You are a mystery
Just like a dream
You are not what you seem
Just like a prayer, no choice
Your voice can take me there

Just like a prayer
Your voice can take me there
Just like a muse to me
You are a mystery
Just like a dream
You are not what you seem
Just like a prayer, no choice
Your voice can take me there
Your voice can take me there
Like a prayer

Just like a prayer, your voice can take me there
It's like a prayer
Just like a prayer, your voice can take me there
It's like a prayer
Just like a prayer, your voice can take me there
It's like a prayer
Just like a prayer, your voice can take me there
It's like a prayer"
150,Television,Marquee Moon,"Art Punk,Art Rock,Post-Punk ",1977,"I remember how the darkness doubled
I recall lightnin' struck itself
I was listenin', listenin' to the rain
I was hearing, hearing something else

Life in the hive puckered up my night
The kiss of death, the embrace of life
There I stand 'neath the marquee moon
Just waiting

I spoke to a man down at the tracks
And I asked him how he don't go mad
He said ""Look here junior, don't you be so happy
And for Heaven's sake, don't you be so sad""

Life in the hive puckered up my night
The kiss of death, the embrace of life
There I stand 'neath the marquee moon
Hesitating

Well a Cadillac, it pulled out of the graveyard
Pulled up to me, all they said ""get in"" (""get in"")
Then the Cadillac, it puttered back into the graveyard
Me, I got out again

Life in the hive puckered up my night
The kiss of death, the embrace of life
There I stand 'neath the marquee moon
I ain't waiting, uh-uh

I remember how the darkness doubled
I recall lightning struck itself
I was listening, listening to the rain
I was hearing, hearing something else"
151,Drake,Hotline Bling ,Contemporary R&B   ,2015,"You used to call me on my
You used to, you used to
Yeah

You used to call me on my cell phone
Late-night when you need my love
Call me on my cell phone
Late-night when you need my love
And I know when that hotline bling
That can only mean one thing
I know when that hotline bling
That can only mean one thing

Ever since I left the city, you
Got a reputation for yourself now
Everybody knows and I feel left out
Girl, you got me down, you got me stressed out
'Cause ever since I left the city, you
Started wearing less and goin' out more
Glasses of champagne out on the dance floor
Hangin' with some girls I've never seen before

You used to call me on my cell phone
Late-night when you need my love
Call me on my cell phone
Late-night when you need my love
I know when that hotline bling
That can only mean one thing
I know when that hotline bling
That can only mean one thing

Ever since I left the city, you, you, you
You and me, we just don't get along
You make me feel like I did you wrong
Going places where you don't belong
Ever since I left the city, you
You got exactly what you asked for
Running out of pages in your passport
Hangin' with some girls I've never seen before

You used to call me on my cell phone
Late-night when you need my love
Call me on my cell phone
Late-night when you need my love
And I know when that hotline bling
That can only mean one thing
I know when that hotline bling
That can only mean one thing

These days, all I do is
Wonder if you're bendin' over backwards for someone else
Wonder if you're rolling up a Backwoods for someone else
Doing things I taught you, gettin' nasty for someone else
You don't need no one else
You don't need nobody else, no
Why you never alone?
Why you always touching road?
Used to always stay at home
Be a good girl, you was in the zone
Yeah, you should just be yourself
Right now, you're someone else

You used to call me on my cell phone
Late-night when you need my love
Call me on my cell phone
Late-night when you need my love
And I know when that hotline bling
That can only mean one thing
I know when that hotline bling
That can only mean one thing

Ever since I left the city"
152,Oasis,Live Forever,Britpop   ,1994,"Maybe I don't really wanna know
How your garden grows
'Cause I just wanna fly
Lately, did you ever feel the pain
In the morning rain
As it soaks you to the bone?

Maybe I just wanna fly
Wanna live, I don't wanna die
Maybe I just wanna breathe
Maybe I just don't believe
Maybe you're the same as me
We see things they'll never see
You and I are gonna live forever

I said maybe I don't really wanna know
How your garden grows
'Cause I just wanna fly
Lately, did you ever feel the pain
In the morning rain
As it soaks you to the bone?

Maybe I will never be
All the things that I wanna be
Now is not the time to cry
Now's the time to find out why
I think you're the same as me
We see things they'll never see
You and I are gonna live forever

Maybe I don't really wanna know
How your garden grows
'Cause I just wanna fly
Lately, did you ever feel the pain
In the morning rain
As it soaks you to the bone

Maybe I just wanna fly
Wanna live, I don't wanna die
Maybe I just wanna breathe
Maybe I just don't believe
Maybe you're the same as me
We see things they'll never see
You and I are gonna live forever

Gonna live forever
Gonna live forever
We're gonna live forever
We're gonna live forever
We're gonna live forever
We're gonna live forever"
153,MGMT,Time to Pretend,"Indietronica,Neo-Psychedelia,Synthpop ",2007,"I'm feeling rough I'm feeling raw I'm in the prime of my life
Let's make some music make some money find some models for wives
I'll move to Paris, shoot some heroin and fuck with the stars
You man the island and the cocaine and the elegant cars

This is our decision to live fast and die young
We've got the vision, now let's have some fun
Yeah it's overwhelming, but what else can we do?
Get jobs in offices and wake up for the morning commute?

Forget about our mothers and our friends
We were fated to pretend, to pretend
We were fated to pretend, to pretend

I'll miss the playgrounds and the animals and digging up worms
I'll miss the comfort of my mother and the weight of the world
I'll miss my sister, miss my father, miss my dog and my home
Yeah I'll miss the boredom and the freedom and the time spent alone

But there is really nothing, nothing we can do
Love must be forgotten. Life can always start up anew
The models will have children, we'll get a divorce
We'll find some more models, everything must run its course

We'll choke on our vomit and that will be the end
We were fated to pretend, to pretend
We were fated to pretend, to pretend

Yeah yeah yeah
Yeah yeah yeah
Yeah yeah yeah
Yeah yeah yeah"
154,Percy Sledge,When a Man Loves a Woman,Deep Soul   ,1966,"When a man loves a woman,
Can't keep his mind on nothin' else,
He'd change the world for the good thing he's found.
If she is bad, he can't see it,
She can do no wrong,
Turn his back on his best friend if he put her down.
When a man loves a woman,
He'll spend his very last dime
Tryin' to hold on to what he needs.
He'd give up all his comforts
And sleep out in the rain,
If she said that's the way
It ought to be.
Well, this man loves you, woman.
I gave you everything I have,
Tryin' to hold on to your heartless love.
Baby, please don't treat me bad.
When a man loves a woman,
Down deep in his soul,
She can bring him such misery.
If she is playin' him for a fool,
He's the last one to know.
Lovin' eyes can never see.
When a man loves a woman
He can do her no wrong,
He can never want
Some other girl.
Yes,When a man loves a woman
I know exactly how he feels,
'Cause baby, baby, you're my world
When a man loves a woman...."
155,The Rolling Stones,Brown Sugar,Blues Rock   ,1971, 
156,Judy Garland,Over the Rainbow,"Film Soundtrack,Traditional Pop  ",1939,"Somewhere over the rainbow way up high
There's a land that I heard of once in a lullaby
Somewhere over the rainbow skies are blue
And the dreams that you dare to dream really do come true

Someday I'll wish upon a star
And wake up where the clouds are far
Behind me
Where troubles melt like lemon drops
Away above the chimney tops
That's where you'll find me

Somewhere over the rainbow bluebirds fly
Birds fly over the rainbow
Why then, oh, why can't I?

If happy little bluebirds fly
Beyond the rainbow
Why, oh, why can't I?"
157,The Beatles,Tomorrow Never Knows,"Art Rock,Experimental Rock,Psychedelic Rock ",1966, 
158,Woody Guthrie,"This Land Is Your Land [first released as ""This Land Is My Land""]",Contemporary Folk   ,1951, 
159,Roy Orbison,"Oh, Pretty Woman","Pop Rock,Rock & Roll  ",1964,"Pretty woman, walking down the street
Pretty woman, the kind I like to meet
Pretty woman
I don't believe you, you're not the truth
No one could look as good as you

Mercy

Pretty woman, won't you pardon me?
Pretty woman, I couldn't help but see
Pretty woman
That you look lovely as can be
Are you lonely just like me?

Wow

Pretty woman, stop a while
Pretty woman, talk a while
Pretty woman, give your smile to me
Pretty woman, yeah, yeah, yeah
Pretty woman, look my way
Pretty woman, say you'll stay with me

'Cause I need you, I'll treat you right
Come with me baby, be mine tonight

Pretty woman, don't walk on by
Pretty woman, don't make me cry
Pretty woman, don't walk away, hey...
OK

If that's the way it must be, OK
I guess I'll go on home, it's late
There'll be tomorrow night, but wait
What do I see?

Is she walking back to me?
Yeah, she's walking back to me
Oh, oh, pretty woman"
160,Elvis Presley,Jailhouse Rock,Rock & Roll   ,1957,"The warden threw a party in the county jail.
The prison band was there and they began to wail.
The band was jumpin' and the joint began to swing.
You should've heard those knocked out jailbirds sing.

Let's rock, everybody, let's rock.
Everybody in the whole cell block
Was dancin' to the Jailhouse Rock.

Spider Murphy played the tenor saxophone,
Little Joe was blowin' on the slide trombone.
The drummer boy from Illinois went crash, boom, bang,
The whole rhythm section was the Purple Gang.

Let's rock, everybody, let's rock.
Everybody in the whole cell block
Was dancin' to the Jailhouse Rock.

Number forty-seven said to number three:
""You're the cutest jailbird I ever did see.
I sure would be delighted with your company,
Come on and do the Jailhouse Rock with me.""

Let's rock, everybody, let's rock.
Everybody in the whole cell block
Was dancin' to the Jailhouse Rock.

Sad Sack was a sittin' on a block of stone
Way over in the corner weepin' all alone.
The warden said, ""Hey, buddy, don't you be no square.
If you can't find a partner use a wooden chair.""

Let's rock, everybody, let's rock.
Everybody in the whole cell block
Was dancin' to the Jailhouse Rock.

Shifty Henry said to Bugs, ""For Heaven's sake,
No one's lookin', now's our chance to make a break.""
Bugsy turned to Shifty and he said, ""Nix nix,
I wanna stick around a while and get my kicks.""

Let's rock, everybody, let's rock.
Everybody in the whole cell block
Was dancin' to the Jailhouse Rock.
Dancin' to the Jailhouse Rock
Dancin' to the Jailhouse Rock
Dancin' to the Jailhouse Rock
Dancin' to the Jailhouse Rock
Dancin' to the Jailhouse Rock..."
161,Jay-Z feat. Alicia Keys,Empire State of Mind,"East Coast Hip Hop,Pop Rap  ",2009, 
